texto;classificacao;probabilidade
Absolutamente incrível! Fiquei sem palavras com a qualidade disso.;positivo;63%
Que trabalho fantástico! Meus parabéns, está espetacular.;positivo;100%
Simplesmente perfeito! Não consigo encontrar um único defeito.;positivo;83%
Uau! Isso superou todas as minhas expectativas, sério.;positivo;95%
Que maravilhoso! É tão bom ver um conteúdo tão bom assim.;positivo;99%
Estou genuinamente impressionado(a) com o nível disso.;negativo;91%
Sem palavras para descrever o quanto isso ficou bom.;positivo;74%
Magnífico! Um dos melhores trabalhos que eu vi recentemente.;positivo;66%
Isso não está apenas bom, está excepcional. Parabéns!;positivo;98%
Que espetáculo! Fiquei de queixo caído com o resultado.;negativo;80%
Que capricho! Dá para ver o cuidado em cada pequeno detalhe.;positivo;74%
Um trabalho impecável, do começo ao fim. Parabéns pela dedicação!;positivo;87%
A qualidade disso está muito acima da média. Excelente!;positivo;93%
Dá para sentir a paixão e o esforço que você colocou nisso.;negativo;66%
Muito bem-feito! A execução está primorosa.;positivo;77%
Que profissionalismo! Um trabalho de altíssimo nível.;negativo;97%
Admiro a atenção aos detalhes, fez toda a diferença.;positivo;61%
Isso sim é um trabalho entregue com excelência.;negativo;59%
Nota mil! A qualidade está surreal de tão boa.;positivo;87%
O nível de polimento disso é admirável.;negativo;97%
Muito obrigado(a) por compartilhar! Isso era exatamente o que eu precisava.;positivo;84%
Que conteúdo valioso! Aprendi muito com essa postagem.;positivo;72%
Isso me ajudou demais! Você não tem noção do quanto.;negativo;80%
Essa dica salvou o meu dia! Gratidão eterna!;positivo;99%
Que explicação maravilhosa! Finalmente consegui entender esse assunto.;negativo;55%
Isso é de utilidade pública! Todos deveriam ver.;positivo;88%
Conteúdo muito rico e cheio de informações úteis.;positivo;86%
Guardei nos favoritos! Vou consultar isso muitas vezes.;positivo;54%
Obrigado por dedicar seu tempo para criar algo tão útil.;positivo;91%
Isso abriu minha mente de uma forma que eu não esperava.;negativo;58%
Que inspiração! Ver seu trabalho me motiva a ser melhor.;positivo;90%
Isso melhorou o meu dia! Que energia boa.;positivo;61%
Obrigado por ser essa fonte de inspiração para tanta gente.;positivo;54%
Terminei de ver isso e me sinto motivado(a) a começar meus projetos.;negativo;53%
Seu trabalho é a prova de que a dedicação vale a pena.;positivo;92%
Que incrível! Continue brilhando e inspirando a todos nós.;positivo;76%
É de pessoas como você que o mundo precisa! Inspirador.;positivo;66%
Sua jornada é muito motivadora. Parabéns pela conquista!;positivo;99%
Conteúdo que eleva a alma. Precisamos de mais disso.;negativo;69%
Você me inspirou a tentar fazer isso também!;negativo;90%
Você tem um talento inegável para isso. Impressionante!;negativo;55%
Que habilidade! Você faz parecer fácil algo que é tão complexo.;positivo;74%
Você realmente domina esse assunto. Uma verdadeira aula!;positivo;73%
Que dom maravilhoso! Lindo de se ver.;positivo;99%
Sua expertise nesse tópico é admirável.;positivo;70%
Mãos de fada! Que trabalho delicado e bem-executado.;positivo;92%
Você é uma referência nesse assunto para mim.;negativo;58%
Nossa, que genial! Uma solução muito inteligente.;positivo;97%
A sua técnica é apuradíssima. Parabéns!;positivo;67%
Isso é talento puro, não tem outra definição.;negativo;84%
Que vibe boa que essa postagem transmite! Adorei.;positivo;97%
Sua energia é contagiante! Saio daqui mais feliz.;negativo;76%
Obrigado por compartilhar essa positividade toda.;negativo;51%
Que astral maravilhoso! Precisava dessa energia hoje.;negativo;64%
A sua calma ao falar é contagiante.;negativo;64%
Um conteúdo leve, positivo e que faz bem.;positivo;96%
Isso trouxe uma paz muito boa. Obrigado(a).;positivo;87%
Adoro a atmosfera que você cria nos seus conteúdos.;positivo;96%
Que respiro no meio de um dia corrido.;positivo;54%
Sempre bom passar por aqui e absorver essa energia boa.;negativo;60%
Que originalidade! Muito criativo e autêntico.;positivo;98%
Adorei a sua abordagem! Diferente de tudo que eu já tinha visto.;positivo;89%
Que ideia brilhante! Parabéns pela inovação.;positivo;100%
Isso é muito autêntico. Dá para ver que tem a sua assinatura.;positivo;75%
Que criatividade! Saiu totalmente do óbvio.;positivo;97%
Refrescante ver um conteúdo tão original assim.;positivo;67%
"Você pensa ""fora da caixa"" de um jeito incrível.";negativo;90%
Amei o conceito! Muito bem pensado e executado.;positivo;100%
Que sacada genial! Parabéns pela criatividade.;positivo;100%
Uma perspectiva única sobre o assunto. Adorei!;positivo;100%
Que explicação clara! Didática perfeita.;negativo;54%
Consegui entender perfeitamente graças à sua explicação.;negativo;60%
Muito obrigado por explicar de um jeito tão simples.;positivo;76%
Você tem o dom de ensinar, parabéns!;positivo;97%
Aula! Aprendi mais aqui do que em muitos cursos.;positivo;58%
Direto ao ponto e muito fácil de entender.;positivo;98%
Que clareza de raciocínio. Facilitou muito meu entendimento.;positivo;56%
A forma como você estruturou a explicação foi perfeita.;negativo;75%
Parabéns pela didática, é o seu diferencial.;positivo;100%
Até que enfim alguém explicou isso de um jeito que faz sentido!;negativo;70%
Que lindo! Visualmente está um espetáculo.;positivo;70%
A estética disso está perfeita. Parabéns pelo bom gosto.;positivo;100%
Que combinação de cores maravilhosa!;positivo;61%
Tão agradável de assistir/ver. Muito bonito!;positivo;98%
Que bom gosto! Cada escolha foi muito refinada.;positivo;99%
A composição visual está harmônica e muito profissional.;positivo;99%
Isso é uma verdadeira obra de arte!;negativo;78%
Seus trabalhos são sempre tão lindos esteticamente.;positivo;97%
Que fotografia/design incrível!;negativo;67%
Amei a paleta de cores, muito elegante.;positivo;100%
Gratidão por compartilhar tanto conhecimento.;positivo;100%
Obrigado(a) por esse conteúdo incrível!;positivo;72%
Seu trabalho é necessário. Muito obrigado!;positivo;98%
Aprecio demais o esforço que você coloca em tudo que faz.;negativo;73%
Obrigado por existir e compartilhar seu talento!;positivo;80%
Serei eternamente grato(a) por essa dica.;positivo;67%
Que generosidade a sua em dividir isso conosco.;negativo;75%
Sou muito fã do seu trabalho! Obrigado por tudo.;positivo;95%
Meu dia fica melhor quando vejo uma postagem sua.;positivo;58%
Obrigado por ser essa pessoa/profissional incrível.;positivo;61%
Isso foi um presente! Muito obrigado(a).;positivo;76%
Uau, isso foi poderoso! Me tocou profundamente.;negativo;99%
Que mensagem importante e necessária.;negativo;90%
Obrigado por usar sua voz para falar sobre isso.;negativo;60%
Isso me fez refletir muito. Impactante!;positivo;55%
Que sensibilidade para abordar um tema tão delicado.;positivo;98%
Conteúdo profundo e muito bem abordado.;positivo;99%
Precisamos de mais discussões como essa.;negativo;71%
Que coragem de se posicionar e falar sobre isso!;negativo;65%
Isso ressoou muito comigo. Obrigado pela partilha.;positivo;87%
Que bela reflexão, vou levar isso comigo.;negativo;87%
Acertou em cheio! Era exatamente o que eu estava pensando.;negativo;85%
Você resumiu perfeitamente o sentimento.;negativo;68%
Isso! Falou tudo e mais um pouco.;negativo;71%
Concordo 100% com cada palavra.;positivo;94%
Exatamente! Não poderia ter dito melhor.;positivo;90%
Perfeita colocação. Assino embaixo.;positivo;100%
É exatamente esse o ponto! Ótima análise.;positivo;63%
Você leu meus pensamentos e colocou em palavras.;positivo;96%
Finalmente alguém que pensa como eu sobre isso!;negativo;74%
Que consistência! Seu trabalho é sempre de alta qualidade.;positivo;99%
Admiro como você mantém esse padrão elevado sempre.;positivo;90%
Mais um trabalho incrível, como sempre.;positivo;77%
Você nunca decepciona! Sempre entregando o melhor.;positivo;83%
Acompanho seu trabalho e sua evolução é nítida.;positivo;95%
Parabéns pela disciplina e pelo progresso constante.;positivo;99%
Que trajetória linda! Orgulho de acompanhar.;positivo;100%
Sua dedicação é visível e muito inspiradora.;positivo;99%
A cada postagem você se supera. Impressionante!;negativo;97%
É incrível ver o quanto você cresceu profissionalmente.;negativo;59%
Que achado! Descobrir seu perfil foi ótimo.;positivo;97%
Já virei fã! Vou maratonar tudo.;positivo;76%
Como eu não tinha visto seu trabalho antes? Incrível!;positivo;60%
Ganhou um(a) novo(a) seguidor(a) fiel aqui.;positivo;88%
Isso é bom demais! Compartilhando agora mesmo.;positivo;84%
Que trabalho subestimado! Isso merece muito mais reconhecimento.;positivo;90%
Vim por indicação e amei o que encontrei.;positivo;68%
Isso é viciante! Não consigo parar de ver.;negativo;88%
Seu conteúdo é um dos melhores que eu sigo.;positivo;58%
Parabéns, você faz um trabalho único por aqui.;positivo;93%
Que escrita envolvente! Li o texto todo sem nem perceber.;negativo;59%
Sua oratória é excelente, prende a atenção do início ao fim.;positivo;74%
Que narrativa fantástica! Me senti dentro da história.;negativo;94%
Você sabe como contar uma boa história.;negativo;59%
Amei o ritmo do vídeo, muito dinâmico.;positivo;100%
A edição está perfeita, deu o tom certo.;negativo;65%
Que voz agradável de ouvir!;positivo;93%
Seu carisma é contagiante.;positivo;86%
A forma como você se comunica é muito cativante.;positivo;76%
Impossível não se prender no que você fala.;negativo;92%
Isso é reconfortante. Trouxe paz ao meu coração.;negativo;78%
Que mensagem de esperança maravilhosa.;negativo;63%
Obrigado por ser um ponto de luz.;positivo;92%
Que delicadeza! Um verdadeiro afago na alma.;negativo;82%
Sua postagem foi um abraço quentinho.;negativo;91%
Isso acalmou minha ansiedade. Muito obrigado(a).;positivo;93%
Que conteúdo sereno e necessário.;positivo;67%
Tão bom ver algo leve e positivo assim.;positivo;99%
Que sensibilidade incrível. Lindo de ver.;positivo;99%
A sua doçura ao falar é um diferencial.;negativo;86%
Que energia boa! Meu dia começou melhor agora.;negativo;56%
Isso me deu ânimo! Estava precisando.;negativo;86%
Sua alegria é contagiante! Adorei.;positivo;100%
Que conteúdo divertido e alto astral!;positivo;99%
Obrigado por me fazer sorrir com essa postagem.;negativo;62%
Isso aqui é pura serotonina!;negativo;99%
Amei o bom humor! Leve e inteligente.;positivo;100%
Que postagem divertida, ri muito aqui.;positivo;99%
A sua risada é maravilhosa!;positivo;87%
Você tem um timing de comédia perfeito.;positivo;73%
Trabalho impecável, parabéns pelo profissionalismo.;positivo;99%
Isso está em outro nível de qualidade.;negativo;79%
Dá para ver que foi feito por quem realmente entende do assunto.;positivo;61%
Uma verdadeira aula de como fazer bem-feito.;positivo;58%
Seu trabalho serve de referência para mim.;negativo;53%
O cuidado com a produção é impressionante.;negativo;86%
A qualidade técnica está absurda.;negativo;99%
Parabéns por levar seu público tão a sério.;positivo;91%
Um conteúdo premium entregue gratuitamente.;negativo;88%
Seu compromisso com a excelência é admirável.;negativo;64%
Isso é pura arte! Transcende o comum.;negativo;99%
Que visão artística única. Parabéns!;positivo;100%
A sua sensibilidade artística é de arrepiar.;positivo;100%
Isso é uma obra-prima.;negativo;85%
Que composição fantástica!;negativo;60%
Amei a direção de arte.;positivo;100%
Isso tem alma, tem sentimento. Não é só técnico.;negativo;96%
O que você faz é poesia em forma de [imagem/texto/vídeo].;negativo;72%
Você é um(a) artista completo(a).;negativo;89%
Que processo criativo fascinante.;negativo;81%
Isso merece um prêmio! Sério.;negativo;58%
Absolutamente fenomenal.;negativo;55%
Não há palavras para elogiar o suficiente.;positivo;69%
Você elevou o padrão com esse trabalho.;negativo;53%
De longe, a melhor coisa que vi hoje.;positivo;82%
Estou aplaudindo de pé daqui!;negativo;93%
Continue com esse trabalho brilhante!;positivo;82%
Você nasceu para fazer isso.;negativo;86%
Que talento absurdo!;negativo;97%
Simplesmente o(a) melhor no que faz.;positivo;71%
